	Land	IATA-Flughafencode	ICAO-Flughafencode
Iasi Airport,	Rumänien	IAS	LRIA
Timisoara Airport,	Rumänien	TSR	LRTR
Kolzowo Airport,	Russland	SVX	USSS
Krasnodar Airport,	Russland	KRR	URKK
Moskau Domodedowo Airport,	Russland	DME	UUDD
Moskau Scheremetjewo Airport,	Russland	SVO	UUEE
Moskau Schukowski Airport,	Russland	ZIA	UUBW
Moskau Wnukowo Airport,	Russland	VKO	UUWW
Nowosibirsk Tolmatschowo Airport,	Russland	OVB	UNNT
Sotschi Airport,	Russland	AER	URSS
St. Petersburg Pulkowo Airport,	Russland	LED	ULLI
Göteborg Landvetter Airport,	Schweden	GOT	ESGG
Malmö Airport,	Schweden	MMX	ESMS
Stockholm Arlanda Airport,	Schweden	ARN	ESSA
Stockholm Bromma Airport,	Schweden	BMA	ESSB
Stockholm Skavsta Airport,	Schweden	NYO	ESKN
Stockholm Västerås Airport,	Schweden	VST	ESOW
Basel Mülhausen Freiburg Airport,	Schweiz	BSL	LFSB
Bern Airport,	Schweiz	BRN	LSZB
Genf Airport,	Schweiz	GVA	LSGG
Zürich Airport,	Schweiz	ZRH	LSZH
Belgrad Nikola Tesla Airport,	Serbien	BEG	LYBE
Niš Airport,	Serbien	INI	LYNI
Bratislava Airport,	Slowakei	BTS	LZIB
Košice Airport,	Slowakei	KSC	LZKZ
Ljubljana Airport,	Slowenien	LJU	LJLJ
Alicante Airport,	Spanien	ALC	LEAL
Almería Airport,	Spanien	LEI	LEAM
Asturias Airport,	Spanien	OVD	LEAS
Barcelona Airport,	Spanien	BCN	LEBL
Bilbao Airport,	Spanien	BIO	LEBB
Fuerteventura Airport,	Spanien	FUE	GCFV
Girona Airport,	Spanien	GRO	LEGE
Gran Canaria Airport,	Spanien	LPA	GCLP
Granada-Jaén Airport,	Spanien	GRX	LEGR
Ibiza Airport,	Spanien	IBZ	LEIB
Jerez Airport,	Spanien	XRY	LEJR
La Palma Airport,	Spanien	SPC	GCLA
Lanzarote Airport,	Spanien	ACE	GCRR
Madrid Barajas Airport,	Spanien	MAD	LEMD
Málaga Airport,	Spanien	AGP	LEMG
Menorca Airport,	Spanien	MAH	LEMH
Palma de Mallorca Airport,	Spanien	PMI	LEPA
Región de Murcia Airport,	Spanien	RMU	LEMI
Reus Airport,	Spanien	REU	LERS
Santander Airport,	Spanien	SDR	LEXJ
Santiago de Compostela Airport,	Spanien	SCQ	LEST
Saragossa Airport,	Spanien	ZAZ	LEZG
Sevilla Airport,	Spanien	SVQ	LEZL
Teneriffa Nord Airport,	Spanien	TFN	GCXO
Teneriffa Süd Airport,	Spanien	TFS	GCTS
Valencia Airport,	Spanien	VLC	LEVC
Brünn Airport,	Tschechien	BRQ	LKTB
Prag Airport,	Tschechien	PRG	LKPR
Adana Airport,	Türkei	ADA	LTAF
Ankara Esenboga Airport,	Türkei	ESB	LTAC
Antalya Airport,	Türkei	AYT	LTAI
Dalaman Airport,	Türkei	DLM	LTBS
Istanbul Airport,	Türkei	IST	LTFM
Istanbul Sabiha Gökcen Airport,	Türkei	SAW	LTFJ
Izmir Adnan Menderes Airport,	Türkei	ADB	LTBJ
Milas-Bodrum Airport,	Türkei	BJV	LTFE
Trabzon Airport,	Türkei	TZX	LTCG
Charkiw Airport,	Ukraine	HRK	UKHH
Kiew Boryspil Airport,	Ukraine	KBP	UKBB
Kiew Schuljany Airport,	Ukraine	IEV	UKKK
Lemberg Airport,	Ukraine	LWO	UKLL
Odessa Airport,	Ukraine	ODS	UKOO
Budapest Airport,	Ungarn	BUD	LHBP
Debrecen Airport,	Ungarn	DEB	LHDC
Aberdeen Airport,	Vereinigtes Königreich	ABZ	EGPD
Belfast City Airport,	Vereinigtes Königreich	BHD	EGAC
Belfast International Airport,	Vereinigtes Königreich	BFS	EGAA
Birmingham Airport,	Vereinigtes Königreich	BHX	EGBB
Bristol Airport,	Vereinigtes Königreich	BRS	EGGD
Cardiff Airport,	Vereinigtes Königreich	CWL	EGFF
Doncaster Sheffield Airport,	Vereinigtes Königreich	DSA	EGCN
East Midlands Airport,	Vereinigtes Königreich	EMA	EGNX
Edinburgh Airport,	Vereinigtes Königreich	EDI	EGPH
Exeter Airport,	Vereinigtes Königreich	EXT	EGTE
Glasgow Airport,	Vereinigtes Königreich	GLA	EGPF
Glasgow Prestwick Airport,	Vereinigtes Königreich	PIK	EGPK
Humberside Airport,	Vereinigtes Königreich	HUY	EGNJ
Jersey Airport,	Vereinigtes Königreich	JER	EGJJ
Leeds Bradford Airport,	Vereinigtes Königreich	LBA	EGNM
Liverpool Airport,	Vereinigtes Königreich	LPL	EGGP
London City Airport,	Vereinigtes Königreich	LCY	EGLC
London Gatwick Airport,	Vereinigtes Königreich	LGW	EGKK
London Heathrow Airport,	Vereinigtes Königreich	LHR	EGLL
London Luton Airport,	Vereinigtes Königreich	LTN	EGGW
London Southend Airport,	Vereinigtes Königreich	SEN	EGMC
London Stansted Airport,	Vereinigtes Königreich	STN	EGSS
Manchester Airport,	Vereinigtes Königreich	MAN	EGCC
Newcastle Airport,	Vereinigtes Königreich	NCL	EGNT
Southampton Airport,	Vereinigtes Königreich	SOU	EGHI
Minsk Airport,	Weißrussland	MSQ	UMMS
Larnaka Airport,	Zypern	LCA	LCLK
Paphos Airport,Zypern,PFO,LCPH
